COMPANY,ADDRESS,CITY,STATE,ZIP,ZIP4,LEGALNAME,PADDRESSLNG,PCITY,PSTATE,PZIP,PCRRT,SICDESC,TITLE,CONTACTNAMECOMP,Corporate Name (Search),UCC URL (Search),Source File,Status (UCC),Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages,Document Number,Filing Date
Southern Microwave  Inc,2000 Avenue P Ste 14,Riviera Beach,FL,33404-5342,5342,"SOUTHERN MICROWAVE, INC.",2000 Avenue P Ste 14,Riviera Beach,FL,33404-5342,,"Electronic Parts And Equipment, Nec",President,Mr. Joseph Olmeda,Southern Microwave  Inc,"https://floridaucc.com/search?text=SOUTHERN MICROWAVE, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,02/16/1995,02/16/2000,03/02/2026,950000032477,1,1,,,,,,,,,,,1,SOUTHERN MICROWAVE INC,"3151 SW 14TH PL, BONTON BEACH, FL, 33426",UCC1,1,,02/16/1995
K & S Interiors  Inc,2000 Avenue P Ste 15,Riviera Beach,FL,33404-5342,5342,"K & S INTERIORS, INC.",2000 Avenue P Ste 15,Riviera Beach,FL,33404-5342,C013,Drywall,President,Mr. Scott Mills,K & S Interiors  Inc,"https://floridaucc.com/search?text=K & S INTERIORS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,05/21/2004,05/21/2009,03/02/2026,200406982633,2,1,,,,,,,,,,,1,"K & S INTERIORS, INC.","1145 WATERTOWER RD, SUITE B, LAKE PARK, FL, 33403",UCC1,2,,05/21/2004
Clear Span Structures  LLC,2000 Avenue P Ste 5,Riviera Beach,FL,33404-5342,5342,"CLEAR SPAN STRUCTURES, LLC",2000 Avenue P Ste 5,Riviera Beach,FL,33404-5342,C013,"Commercial And Office Building, New Construction",Member,Ms. Jane Darling,Clear Span Structures  LLC,"https://floridaucc.com/search?text=CLEAR SPAN STRUCTURES, LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,03/22/2018,03/22/2023,03/02/2026,201804573483,0,1,,,,,,,,,,,1,"CLEAR SPAN STRUCTURES, LLC","2000 AVENUE P SUITE 5, RIVIERA BEACH, FL, 33404",UCC1,2,,03/22/2018
Kevin M Lukasiewicz,1025 W 17th St,Riviera Beach,FL,33404-5407,5407,KEVIN M LUKASIEWICZ,1025 W 17th St,Riviera Beach,FL,33404-5407,C013,"Ice Cream, Bulk",President,Mr. Kevin Lukasewicz,Kevin M Lukasiewicz,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Newman Windows & Doors  Inc,1649 Avenue L,Riviera Beach,FL,33404-5420,5420,"NEWMAN WINDOWS & DOORS, INC.",1649 Avenue L,Riviera Beach,FL,33404-5420,C013,Windows,President,Mr. Tad Newman,Newman Windows & Doors  Inc,"https://floridaucc.com/search?text=NEWMAN WINDOWS & DOORS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,05/10/2018,05/10/2028,03/02/2026,201805159508,2,1,,,,,,,,,,,1,"NEWMAN WINDOWS & DOORS, INC.","16140 EAST CORNWALL DRIVE, LOXAHATCHEE, FL, 33470",UCC1,1,,05/10/2018
Dna Surface Concepts Inc,1980 Avenue L,Riviera Beach,FL,33404-5442,5442,DNA SURFACE CONCEPTS INC,1980 Avenue L,Riviera Beach,FL,33404-5442,,Metal Coating And Allied Services,President,Mr. Sean M Kelly,Dna Surface Concepts Inc,https://floridaucc.com/search?text=DNA SURFACE CONCEPTS INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,04/30/2018,04/30/2023,03/02/2026,201805038891,0,1,,,,,,,,,,,1,DNA SURFACE CONCEPTS INC,"1980 AVE L, RIVIERA BEACH, FL, 33404",UCC1,1,,04/30/2018
Auto Krafters LLC,1990 Avenue L,Riviera Beach,FL,33404-5442,5442,AUTO KRAFTERS LLC,1990 Avenue L,Riviera Beach,FL,33404-5442,C013,"Body Shop, Automotive",Chief Executive Officer,Mr. Daniel Chance,Auto Krafters LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Creative Marine Inc,2280 Avenue L,Riviera Beach,FL,33404-5448,5448,CREATIVE MARINE INC,2280 Avenue L,Riviera Beach,FL,33404-5448,,Boat Dealers,President,Mr. Nicholas Scafidi,Creative Marine Inc,https://floridaucc.com/search?text=CREATIVE MARINE INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,11/12/1998,11/12/2003,03/02/2026,980000252743,0,1,,,,,,,,,,,1,CREATIVE MARINE INC,"951 13TH STREET WEST BAY 12, RIVIERA BEACH, FL, 33410",UCC1,1,,11/12/1998
Rp High Performance  Inc,2391 Old Dixie Hwy,Riviera Beach,FL,33404-5456,5456,"RP HIGH PERFORMANCE, INC",2391 President Barack Obama Hwy,Riviera Beach,FL,33404-5456,,"Automobile Assembly, Including Specialty Automobiles",President,Mr. Ian Grunes,Rp High Performance  Inc,"https://floridaucc.com/search?text=RP HIGH PERFORMANCE, INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,08/01/2014,08/01/2024,03/02/2026,201401929123,1,1,,,,,,,,,,,1,RP HIGH PERFORMANCE INC.,"2391 OLD DIXIE HWY, RIVIERA BEACH, FL, 33404",UCC1,1,,08/01/2014
Villa Franciscan  Inc,2101 Ave F Ofc,West Palm Beach,FL,33404-5503,5503,"VILLA FRANCISCAN, INC.",2101 Avenue F Ofc,West Palm Beach,FL,33404-5503,,Religious Organizations,President,Msgr J Mcmahon,Villa Franciscan  Inc,"https://floridaucc.com/search?text=VILLA FRANCISCAN, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,02/27/1995,02/27/2000,03/02/2026,950000038843,1,1,,,,,,,,,,,1,VILLA FRANCISCAN INC,"9995 N MILITARY TRAIL, PALM BEACH GARDENS, FL, 33410",UCC1,2,,02/27/1995
De Keizer United States LLC,1940 Broadway,Riviera Beach,FL,33404-5602,5602,DE KEIZER UNITED STATES LLC,1940 Broadway,Riviera Beach,FL,33404-5602,C004,Engineering Services,Member,Mr. Niels D Keizer,De Keizer United States LLC,https://floridaucc.com/search?text=DE KEIZER UNITED STATES LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,10/23/2019,10/23/2024,03/02/2026,20190997500X,0,1,,,,,,,,,,,1,DE KEIZER UNITED STATES LLC,"1940 BROADWAY, RIVERA BEACH, FL, 33404",UCC1,1,,10/23/2019
Palm Bch Cnty Black Bus Inv Co,2001 Broadway Ste 210,Riviera Beach,FL,33404-5612,5612,PALM BEACH COUNTY BLACK BUSINESS INVESTMENT CORPORATION,2001 Broadway Ste 210,Riviera Beach,FL,33404-5612,,Financial Consultant,President,Mr. Marlon D White,Palm Bch Cnty Black Bus Inv Co,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Mariner Mar Of The Palm Baches,1429 Broadway,West Palm Beach,FL,33404-5623,5623,MARINER MARINE OF THE PALM BEACHES INC,1429 Broadway,West Palm Beach,FL,33404-5623,,Marine Engine Repair,President,Mr. Dick M Kee,Mariner Mar Of The Palm Baches,https://floridaucc.com/search?text=MARINER MARINE OF THE PALM BEACHES INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,11/08/1991,11/08/1996,03/02/2026,910000240159,0,1,,,,,,,,,,,3,MARINER MARINE OF THE PALM BEACHES,"1429 BROADWAY, WEST PALM BEACH, FL, 33404",UCC1,5,,11/08/1991
Harbor Yacht Sales Inc,1501 Broadway,Riviera Beach,FL,33404-5625,5625,HARBOR YACHT SALES INC,1501 Broadway,Riviera Beach,FL,33404-5625,,Motor Boat Dealers,President,Mr. Raymond R Mancuso,Harbor Yacht Sales Inc,https://floridaucc.com/search?text=HARBOR YACHT SALES INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,05/12/1997,05/12/2002,03/02/2026,U97000002824,4,1,,,,,,,,,,,1,HARBOR YACHT SALES INC,"850 NE 3RD ST SUITE 208, DANIA, FL",UCC1,2,,05/12/1997
Of Palm Bches Fla Mar Tech Inc,1715 Broadway,Riviera Beach,FL,33404-5629,5629,THE OF PALM BEACHES FLORIDA MARINE TECH INC,1715 Broadway,Riviera Beach,FL,33404-5629,C004,Marine Supplies And Equipment,President,Mr. John Wheatley,Of Palm Bches Fla Mar Tech Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Boathouse Disc Superstore Inc,2124 Broadway,West Palm Beach,FL,33404-5650,5650,"BOATHOUSE DISCOUNT SUPERSTORE, INC.",2124 Broadway,West Palm Beach,FL,33404-5650,,Boat Repair,President,Zar Yassine,Boathouse Disc Superstore Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach Towers  Inc,2100 Avenue B Bldg 1,Riviera Beach,FL,33404-5654,5654,"PALM BEACH TOWERS, INC.",2100 Avenue B Bldg 1,Riviera Beach,FL,33404-5654,C003,Marine Engineering,Principal,Drew Mcdowell,Palm Beach Towers  Inc,"https://floridaucc.com/search?text=PALM BEACH TOWERS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,12/17/1998,12/17/2003,03/02/2026,980000277991,0,1,,,,,,,,,,,1,PALM BEACH TOWERS CONDOMINIUM ASSOCIATION INC,"44 COCOANUT ROW, PALM BEACH, FL, 33480",UCC1,1,,12/17/1998
Palm Beach Outboards  Inc,2250 Broadway,Riviera Beach,FL,33404-5670,5670,"PALM BEACH OUTBOARDS, INC.",2250 Broadway,Riviera Beach,FL,33404-5670,C003,Motor Boat Dealers,President,Mr. Marc Mattaliano,Palm Beach Outboards  Inc,"https://floridaucc.com/search?text=PALM BEACH OUTBOARDS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,06/17/2011,06/17/2021,03/02/2026,201104800576,2,1,,,,,,,,,,,1,"PALM BEACH OUTBOARDS, INC.","2250 BROADWAY, WEST PALM BEACH, FL, 33404",UCC1,1,,06/17/2011
Lrt Strategies  Inc,212 Cascade Ln,West Palm Beach,FL,33404-5713,5713,"LRT STRATEGIES, INC.",212 Cascade Ln,West Palm Beach,FL,33404-5713,,Fire Extinguishers,President,Leslie Trafelet,Lrt Strategies  Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Broydrick Enterprises LLC,221 Bamboo Rd,West Palm Beach,FL,33404-5732,5732,BROYDRICK ENTERPRISES LLC,221 Bamboo Rd,West Palm Beach,FL,33404-5732,,Windows,Managing Member,Ms. Cynthia M Broydrick,Broydrick Enterprises LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Dynasty International Inc,2308 Park Ave,West Palm Beach,FL,33404-5739,5739,"DYNASTY INTERNATIONAL, INC",2308 Park Ave,West Palm Beach,FL,33404-5739,,Travel Agencies,President,Ms. Dorothy Ackerman,Dynasty International Inc,"https://floridaucc.com/search?text=DYNASTY INTERNATIONAL, INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,12/02/2005,12/02/2010,03/02/2026,200501298116,1,1,,,,,,,,,,,1,DYNASTY INTERNATIONAL GROUP INC,"590 W MAIN ST, LAKE HELEN, FL, 32744",UCC1,1,,12/02/2005
Atrium At Palm Beach Shores Co,145 Ocean Ave Ofc,Palm Beach Shores,FL,33404-5755,5755,THE ATRIUM AT PALM BEACH SHORES CONDOMINIUM ASSOCIATION INC,145 Ocean Ave Ofc,Palm Beach Shores,FL,33404-5755,C005,Condominium Association,President,Ms. Kathleen Bresnahan,Atrium At Palm Beach Shores Co,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Palm Bch Shres Rsort Vction Vl,181 Ocean Ave,Palm Beach Shores,FL,33404-5761,5761,"PALM BEACH SHORES RESORT AND VACATION VILLAS ASSOCIATION, INC.",181 Ocean Ave,Palm Beach Shores,FL,33404-5761,C005,Resort Hotel,General Manager,Ms. Sherry Smith,Palm Bch Shres Rsort Vction Vl,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Red Road 86 Inc,6701 Garden Rd Unit 3,Riviera Beach,FL,33404-5900,5900,RED ROAD 86 INC.,6701 Garden Rd Ste 3,Riviera Beach,FL,33404-5900,,"Tourist Attraction, Commercial",President,Mr. Viktor Popovics,Red Road 86 Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Superior Waterway Services Inc,6701 Garden Rd Ste 1,Riviera Beach,FL,33404-5900,5900,"SUPERIOR WATERWAY SERVICES, INC.",6701 Garden Rd Ste 1,Riviera Beach,FL,33404-5900,,"Water Treatment Equipment, Industrial",President,Chris J York,Superior Waterway Services Inc,"https://floridaucc.com/search?text=SUPERIOR WATERWAY SERVICES, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,03/22/2001,03/22/2006,03/02/2026,200100062936,0,1,,,,,,,,,,,2,SUPERIOR WATERWAY SERVICES INC,"124 FIRST TERRACE, PALM BEACH GARDENS, FL, 33418",UCC1,1,,03/22/2001
Ultimate Washer Inc,6701 Garden Rd Ste 3,Riviera Beach,FL,33404-5900,5900,ULTIMATE WASHER INC.,6701 Garden Rd Ste 3,Riviera Beach,FL,33404-5900,,"Cleaning Equipment, High Pressure, Sand Or Steam",President,Mr. Victor Popovics,Ultimate Washer Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Rezonate Industries  Inc,3707 Interstate Park Rd S,Riviera Beach,FL,33404-5903,5903,"REZONATE INDUSTRIES, INC.",3707 Interstate Park Rd S,Riviera Beach,FL,33404-5903,,"Personal Service Agents, Brokers, And Bureaus",President,Mr. Carlos J Silva,Rezonate Industries  Inc,"https://floridaucc.com/search?text=REZONATE INDUSTRIES, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,01/30/2020,01/30/2025,03/02/2026,202000759139,1,1,,,,,,,,,,,1,"REZONATE INDUSTRIES, INC","12154 SOUTHWEST 114TH PLACE, MIAMI, FL, 33176",UCC1,2,,01/30/2020
Basik Trading  Inc,3716 Interstate Park Rd N,Riviera Beach,FL,33404-5904,5904,"BASIK TRADING, INC.",3716 Interstate Park Rd N,Riviera Beach,FL,33404-5904,,Cigars,President,Mr. Andrew Katz,Basik Trading  Inc,"https://floridaucc.com/search?text=BASIK TRADING, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,11/17/2008,11/17/2013,03/02/2026,200809538170,0,1,,,,,,,,,,,1,"BASIK TRADING, INC.","581-105 AVE. N UNIT 37, ROYAL PALM BEACH, FL, 33411",UCC1,1,,11/17/2008
Beach Environmental South  LLC,6911 Garden Road,Riviera Beach,FL,33404-5905,5905,"BEACH ENVIRONMENTAL SOUTH, LLC",6911 Garden Rd,Riviera Beach,FL,33404-5905,,Pest Control In Structures,Principal,Mr. Gregg D Daniel,Beach Environmental South  LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Serta Mattress Co,3774 Interstate Park Rd N,Riviera Beach,FL,33404-5908,5908,SERTA MATTRESS CO,3774 Interstate Park Rd N,Riviera Beach,FL,33404-5908,C001,Mattresses,Principal,Mr. Jose Deluna,Serta Mattress Co,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Stallion Equities LLC,3718 Interstate Park Rd N,Riviera Beach,FL,33404-5908,5908,STALLION EQUITIES LLC,3718 Interstate Park Rd N,Riviera Beach,FL,33404-5908,,Lighting Fixtures,Managing Member,Mr. Ravi Bajaj,Stallion Equities LLC,https://floridaucc.com/search?text=STALLION EQUITIES LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Filed,08/21/2024,08/21/2029,03/02/2026,202402226615,0,1,,,,,,,,,,,1,STALLION EQUITIES LLC,"3718 INTERSTATE PARK RD N, RIVIERA BEACH, FL, 33404",UCC1,1,,08/21/2024
Vertarib Inc,3660 Interstate Park Way,Riviera Beach,FL,33404-5911,5911,VERTARIB INC.,3660 Interstate Park Way,Riviera Beach,FL,33404-5911,C001,"Tank Towers, Metal Plate",Chief Executive Officer,Mr. Alan Dinow,Vertarib Inc,https://floridaucc.com/search?text=VERTARIB INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Filed,05/21/2020,05/21/2030,03/02/2026,202001692801,1,1,,,,,,,,,,,1,VERTARIB INC.,"9005 SOUTHERN BLVD, ROYAL PALM BEACH, FL, 33411",UCC1,1,,05/21/2020
Adatif Medical Incorporated,3660 Interstate Park Way,West Palm Beach,FL,33404-5911,5911,ADATIF MEDICAL INCORPORATED,3660 Interstate Park Way,West Palm Beach,FL,33404-5911,,Surgical And Medical Instruments,Chairman Of The Board,Kerrigan Turner,Adatif Medical Incorporated,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Sauce Crafters Incorporated,3695 Interstate Park Way,Riviera Beach,FL,33404-5913,5913,SAUCE CRAFTERS INCORPORATED,3695 Interstate Park Way Ste 2,Riviera Beach,FL,33404-5913,C001,Packaging And Labeling Services,President,Mr. Charlie Schandelmayer,Sauce Crafters Incorporated,https://floridaucc.com/search?text=SAUCE CRAFTERS INCORPORATED&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,09/27/1999,09/27/2004,03/02/2026,990000219374,1,1,,,,,,,,,,,1,SAUCE CRAFTERS INCORPORATED,"3695 INTERSTATE PARKWAY #2, RIVIERA BEACH, FL, 33404",UCC1,1,,09/27/1999
Palm Beach Truck & Eqp Co,3775 Interstate Park Rd W,West Palm Beach,FL,33404-5915,5915,"PALM BEACH TRUCK & EQUIPMENT CO., INC",3775 Interstate Park Rd W,West Palm Beach,FL,33404-5915,,"Trucks, Tractors, And Trailers: New And Used",President,Mr. John Scopetta,Palm Beach Truck & Eqp Co,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Unique Touch Cabinetry  Inc,6753 Garden Rd Ste 105,Riviera Beach,FL,33404-5917,5917,"UNIQUE TOUCH CABINETRY, INC.",6753 Garden Rd Ste 105,Riviera Beach,FL,33404-5917,C001,Wood Kitchen Cabinets,President,Mr. Robert Mcintosh,Unique Touch Cabinetry  Inc,"https://floridaucc.com/search?text=UNIQUE TOUCH CABINETRY, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,09/29/2017,09/29/2027,03/02/2026,201702753091,1,1,,,,,,,,,,,1,"UNIQUE TOUCH CABINETRY, INC.","6753 GARDEN ROAD 102, RIVIERA BEACH, FL, 33404",UCC1,1,,09/29/2017
Hose Connection  Inc,6753 Garden Rd Ste 109,Riviera Beach,FL,33404-5917,5917,THE HOSE CONNECTION INC,6753 Garden Rd Ste 109,Riviera Beach,FL,33404-5917,,"Hose, Belting, And Packing",President,Mr. Humberto Farinas,Hose Connection  Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Life Span Palm Beach Cnty Inc,1400 N Congress Ave,West Palm Beach,FL,33404-6009,6009,"LIFE SPAN OF PALM BEACH COUNTY, INC.",1400 N Congress Ave,West Palm Beach,FL,33404-6009,,Child Day Care Services,Executive Director,Ms. Terri Mitchell,Life Span Palm Beach Cnty Inc,"https://floridaucc.com/search?text=LIFE SPAN OF PALM BEACH COUNTY, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,05/15/2003,05/15/2013,03/02/2026,200303983807,2,1,,,,,,,,,,,1,"LIFE SPAN OF PALM BEACH COUNTY, INC.","1400 NORTH CONGRESS AVENUE, BOX 9035, RIVIERA BEACH, FL, 33419",UCC1,1,,05/15/2003
Holy Grund Shlter For Hmless I,200 W 20th St,Riviera Beach,FL,33404-6160,6160,"HOLY GROUND SHELTER FOR HOMELESS, INC.",200 W 20th St,Riviera Beach,FL,33404-6160,,Social Service Center,Principal,Mr. John P Macfadyen,Holy Grund Shlter For Hmless I,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Marine Services Agency  Inc,58 Lake Dr,West Palm Beach,FL,33404-6218,6218,"MARINE SERVICES AGENCY, INC.",58 Lake Dr,West Palm Beach,FL,33404-6218,,Commercial Nonphysical Research,President,W M Guerry,Marine Services Agency  Inc,"https://floridaucc.com/search?text=MARINE SERVICES AGENCY, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,01/29/2001,01/29/2006,03/02/2026,200100020540,0,1,,,,,,,,,,,1,MARINE SERVICES AGENCY INC,"1311 FOLSOM ROAD, LOXAHATCHEE, FL, 33470",UCC1,1,,01/29/2001
Ocean Pointe,71 Ocean Ave,Palm Beach Shores,FL,33404-6225,6225,OCEAN POINTE,71 Ocean Ave,Palm Beach Shores,FL,33404-6225,C005,Hotels And Motels,Principal,Ms. Melissa Fritfphe,Ocean Pointe,https://floridaucc.com/search?text=OCEAN POINTE&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,12/28/2011,12/28/2016,03/02/2026,201105902135,0,1,,,,,,,,,,,1,"OCEAN POINTE COMMONS ASSOCIATION, INC.","500 BURTON DRIVE, TAVENRNIER, FL, 33070",UCC1,1,,12/28/2011
Palm Beach Shores Apartments,33 Ocean Ave,Palm Beach Shores,FL,33404-6265,6265,PALM BEACH SHORES APARTMENTS INC,33 Ocean Ave,Palm Beach Shores,FL,33404-6265,C005,Apartment Building Operators,Manager,Mr. Jeff Curtiss,Palm Beach Shores Apartments,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
West Side Reprographics  Inc,6470 Garden Rd,Riviera Beach,FL,33404-6302,6302,"WEST SIDE REPROGRAPHICS, INC.",6470 Garden Rd,Riviera Beach,FL,33404-6302,C001,Drafting Equipment And Supplies,President,Ms. Debby Lovett,West Side Reprographics  Inc,"https://floridaucc.com/search?text=WEST SIDE REPROGRAPHICS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,06/04/1999,06/04/2004,03/02/2026,990000126256,0,1,,,,,,,,,,,1,WEST SIDE REPROGRAPHICS INC,"6470 GARDEN RD, RIVIERA BEACH, FL, 33404",UCC1,1,,06/04/1999
Kadassa Inc,3541 Dr Mrtn Lther King J,Riviera Beach,FL,33404-6306,6306,KADASSA INC,3541 Dr Martin Luther King Jr Blvd Ste 7,Riviera Beach,FL,33404-6306,,"Curbing, Granite Or Stone",President,Mr. Martin H Arias,Kadassa Inc,https://floridaucc.com/search?text=KADASSA INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Search1600.csv,Lapsed,08/04/2016,08/04/2021,03/02/2026,201608375887,0,1,,,,,,,,,,,1,KADASSA INC,"1812 ARAGON AVE STE A, LAKE WORTH, FL, 33460",UCC1,1,,08/04/2016
Palm Beach Ldry & Lin Svc Inc,3541 Dr Mrtn Lther King J,Riviera Beach,FL,33404-6306,6306,"PALM BEACH LAUNDRY AND LINEN SERVICE, INC.",3541 Dr Martin Luther King Jr Blvd Ste 11,Riviera Beach,FL,33404-6306,C001,"Power Laundries, Family And Commercial",President,Yousra Shraiteh,Palm Beach Ldry & Lin Svc Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Legacy Contracting Solutions,6557 Garden Rd Ste 10,Riviera Beach,FL,33404-6307,6307,"LEGACY CONTRACTING SOLUTIONS, INC",6557 Garden Rd Ste 10,Riviera Beach,FL,33404-6307,C001,Construction And Mining Machinery,President,Mr. William C Moore,Legacy Contracting Solutions,"https://floridaucc.com/search?text=LEGACY CONTRACTING SOLUTIONS, INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,08/28/2025,08/28/2030,03/02/2026,202503440442,0,1,,,,,,,,,,,1,"LEGACY CONTRACTING SOLUTIONS, INC","6557 GARDEN ROAD #10, RIVIERA BEACH, FL, 33404",UCC1,1,,08/28/2025
Sembco Stl Erection Met Bldg,3450 Dr Mrtn Lther King J,Riviera Beach,FL,33404-6314,6314,SEMBCO STEEL ERECTION METAL BUILDING COMPANY,3450 Dr Martin Luther King Jr Blvd,Riviera Beach,FL,33404-6314,,Fabricated Structural Metal,President,Mr. Wallace C Sease,Sembco Stl Erection Met Bldg,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Pendulum One  Inc,6555 Garden Rd Ste 13,Riviera Beach,FL,33404-6318,6318,"PENDULUM ONE, INC.",6555 Garden Rd Ste 13,Riviera Beach,FL,33404-6318,,Chairs: Upholstered On Wood Frames,President,Mr. Ira D Smith,Pendulum One  Inc,"https://floridaucc.com/search?text=PENDULUM ONE, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,11/15/1995,11/15/2000,03/02/2026,950000229780,0,1,,,,,,,,,,,1,PENDULUM ONE INC,"3630B REES AVE, RIVIERA BEACH, FL, 33404",UCC1,1,,11/15/1995
Landmark Cnstr Companies Inc,6555 Garden Rd Ste 18,Riviera Beach,FL,33404-6318,6318,"LANDMARK CONSTRUCTION COMPANIES, INC.",6555 Garden Rd Ste 18,Riviera Beach,FL,33404-6318,C001,"Residential Construction, Nec",Principal,Mr. Dominick J Agostino,Landmark Cnstr Companies Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
