Search Term,Match Score,Status,Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages
257 RESTAURANT LLC,1.00,Lapsed,08/21/2020,08/21/2025,02/23/2026,202004416465,0,1,U.S. SMALL BUSINESS ADMINISTRATION,"2 NORTH STREET, SUITE 320, BIRMINGHAM, AL, 35203",,,,,,,,,1,257 RESTAURANT LLC,"257 ROYAL POINCIANA WAY, PALM BEACH, FL, 33480",UCC1,1
257 RESTAURANT LLC,0.00,No results,,,,,,,,,,,,,,,,,,,,,
"260 SOUTH OCEAN BOULEVARD, LLC",0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"261 SUMMA, LLC",1.00,Filed,09/29/2025,09/29/2030,02/23/2026,20250374414X,0,1,"WORLD'S FAIR CAPITAL FUND I, LLC","10299 SOUTHERN BOULEVARD, SUITE 211951, ROYAL PALM BEACH, FL, 33411",,,,,,,,,1,"261 SUMMA, LLC","202 PALMETTO LANE, WEST PALM BEACH, FL, 33405",UCC1,1
261 SUMMA LLC,1.00,Filed,09/29/2025,09/29/2030,02/23/2026,20250374414X,0,1,"WORLD'S FAIR CAPITAL FUND I, LLC","10299 SOUTHERN BOULEVARD, SUITE 211951, ROYAL PALM BEACH, FL, 33411",,,,,,,,,1,"261 SUMMA, LLC","202 PALMETTO LANE, WEST PALM BEACH, FL, 33405",UCC1,1
"264 - THE GRILL, INC.",0.88,Lapsed,09/22/1993,09/22/1998,02/23/2026,930000198156,0,1,DEMARINIS           VICTOR        A,"2253 IBIS ISLE, PALM BEACH, FL, 33480",,,,,,,,,2,264 - THE GRILL INC,"264 S COUNTY RD, PALM BEACH, FL, 33480",UCC1,1
"264 - THE GRILL, INC.",1.00,Lapsed,09/22/1993,09/22/1998,02/23/2026,930000198156,0,1,DEMARINIS           VICTOR        A,"2253 IBIS ISLE, PALM BEACH, FL, 33480",,,,,,,,,2,264 - THE GRILL INC,"264 S COUNTY RD, PALM BEACH, FL, 33480",UCC1,1
"2774 SOUTH OCEAN, INC.",1.00,Lapsed,10/25/2017,10/25/2022,02/23/2026,201703063307,1,1,BANCO POPULAR NORTH AMERICA,"85 BROAD STREET, 10TH FLOOR, NEW YORK, NY, 10004",,,,,,,,,1,"2774 SOUTH OCEAN, INC.","2774 S. OCEAN BOULEVARD, PALM BEACH, FL, 33480",UCC1,2
"2774 SOUTH OCEAN, INC.",1.00,Filed,03/23/2022,03/23/2027,02/23/2026,202200928333,0,1,POPULAR BANK,"85 BROAD STREET, 10TH FLOOR, NEW YORK, NY, 10004",,,,,,,,,1,"2774 SOUTH OCEAN, INC.","2774 SOUTH OCEAN BOULEVARD, PALM BEACH, FL, 33480",UCC1,2
"2800, LLC",0.80,Filed,05/31/2022,05/31/2027,02/23/2026,202201778912,0,1,"TG CAPITAL LENDING LLC, A FLORIDA LIMITED LIABILITY COMPANY","18205 BISCAYNE BOULEVARD, STE 2226, AVENTURA, FL, 33160",,,,,,,,,1,2800-1501 LLC,"3900 ISLAND BOULEVARD, B302, AVENTURA, FL, 33160",UCC1,3
"2806 ENTERPRISES, INC.",1.00,Lapsed,06/29/1995,06/29/2000,02/23/2026,950000129695,0,2,GREENWALD           ALLEN         R,"1320 S DIXIE HWY STE 781, CORAL GABLES, FL",GREENWALD           JILL          F,"1320 S DIXIE HWY STE 781, CORAL GABLES, FL",,,,,,,2,JOSEPH A SANGI REVOCABLE LIVING TRUST,"609 N VICTORIA PARK RD, FT LAUDERDALE, FL",UCC1,4
"2806 ENTERPRISES, INC.",1.00,Lapsed,08/27/1997,08/27/2002,02/23/2026,970000193386,0,1,ORIX CREDIT ALLIANCE INC,"1625 NW AMBERGIEN CT #100, BEAVERTON, OR, 97006",,,,,,,,,1,2806 ENTERPRISES INC,"2800 BROADWAY, WEST PALM BEACH, FL, 33407",UCC1,3
"280 NCR, LLC",1.00,Lapsed,01/10/2018,01/10/2023,02/23/2026,201803773071,0,1,FIRST REPUBLIC BANK,"111 PINE STREET, SAN FRANCISCO, CA, 94111",,,,,,,,,1,"280 NCR, LLC","201 DUNBAR ROAD, PALM BEACH, FL, 33480",UCC1,7
"2875 DEVELOPMENT GROUP, LLC",1.00,Lapsed,11/15/2001,11/15/2006,02/23/2026,200190359941,0,1,FIRST UNION NATIONAL BANK,"200 EAST BROWARD BLVD, 9TH FLOOR, FORT LAUDERDALE, FL, 33301",,,,,,,,,1,2875 DEVELOPMENT GROUP LLC,"214 BRIAILIAN AVE., SUITE 200, PALM BEACH, FL, 33480",UCC1,5
"2875 DEVELOPMENT GROUP, LLC",1.00,Lapsed,04/13/2007,04/13/2012,02/23/2026,200705287597,1,1,COMMERCE BANK NA,"1900 MARKET ST, PHILADELPHIA, PA, 19103",,,,,,,,,2,2875 DEVELOPMENT GROUP LLC,"214 BRAZILIAN AVE, STE 200, PALM BEACH, FL, 33480",UCC1,6
"28TH STREET, LLC",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"2914 WASHINGTON RD, LLC",1.00,Lapsed,06/23/2016,06/23/2021,02/23/2026,201607970692,1,1,SEACOAST NATIONAL BANK,"815 COLORADO AVENUE, STUART, FL, 34994",,,,,,,,,1,"2914 WASHINGTON RD, LLC","404 SEASPRAY AVENUE, PALM BEACH, FL, 33480",UCC1,5
"2921, LLC",0.00,No close match,,,,,,,,,,,,,,,,,,,,,
298 TRADEWINDS LIMITED PARTNERSHIP,1.00,Lapsed,03/28/1994,03/28/1999,02/23/2026,940000062127,1,1,ISLAND NATIONAL BANK AND TRUST COMPANY,"180 ROYAL PALM WAY, PALM BEACH, FL, 33480",,,,,,,,,1,298 TRADEWINDS LIMITED PARTNERSHIP,"209 PHIPPS PLZ, PALM BEACH, FL, 33480",UCC1,4
"2DPB, LLC",1.00,Filed,05/23/2019,05/23/2029,02/23/2026,201908700627,2,1,IBERIABANK,"1101 EAST ADMIRAL DOYLE DRIVE, P. O. BOX 12440, NEW IBERIA, LA, 705622440",,,,,,,,,1,"2DPB, LLC","1100 N LAKE WAY, PALM BEACH, FL, 33480",UCC1,1
"2DPB, LLC",1.00,Filed,07/10/2025,07/10/2030,02/23/2026,202502662379,0,1,FIRST HORIZON BANK,"PO BOX 132, MEMPHIS, TN, 38101",,,,,,,,,2,"2DPB, LLC","1100 N LAKE WAY, PALM BEACH, FL, 33480",UCC1,1
